Checklist da Casa Nova — Itens e Prioridades,,,,,,,,,
Preencha os campos em amarelo. Use os filtros do cabeçalho para organizar por prioridade ou status.,,,,,,,,,
,,,,,,,,,
Categoria,Item,Prioridade,Status,Tipo,Quantidade,Preço estimado (R$),Preço Real Pago (R$),Link do item,Observações
TOTAL DE COMPRA PESSOAL,,,,,,"R$0,00",,,
TOTAL DE CHÁ DE PANELA,,,,,,"R$0,00",,,
JÁ GASTO (itens comprados - Preço Real),,,,,,"R$0,00",,,
FALTA GASTAR (a comprar),,,,,,"R$37.040,00",,,
ITENS COMPRADOS / TOTAL,,,,,,0 / 59,,,
,,,,,,,,,
Legenda:,,,,,,,,,
"Células em amarelo (Preço, Link, Observações) são para você preencher.",,,,,,,,,
Prioridade: Essencial (vermelho) > Importante (laranja) > Desejável (verde).,,,,,,,,,
Status: mude para 'Comprado' quando adquirir o item — os totais atualizam automaticamente.,,,,,,,,,
